Driver,Track,QualiRating,RaceRating,TeammateRating,CombinedRating
VER,Suzuka,100,100,100,100
VER,COTA,95,96.45,100,96.15
VER,Montreal,95,96.45,100,96.15
VER,Qatar,97.5,93.7,100,96.04
VER,Monza,90,100,100,95.5
NOR,Silverstone,83.75,100,100,92.69
NOR,Monaco,82.5,100,100,92.12
VER,Melbourne,96.25,85.8,100,91.92
LEC,Monaco,96.25,85.8,100,91.92
ANT,Brazil,95,85.8,100,91.36
RUS,Singapore,80,100,100,91
VER,Barcelona,93.75,84.05,100,90.01
VER,Spa,93.75,84.05,100,90.01
VER,Jeddah,92.5,91.07,66.67,89.27
PIA,Qatar,90,85.8,100,89.11
NOR,Melbourne,75,100,100,88.75
PER,Jeddah,96.67,85.1,50,86.8
NOR,Suzuka,83.75,85.8,100,86.3
NOR,Hungary,92.5,80.8,75,85.48
NOR,Monza,81.25,85.8,100,85.17
NOR,Singapore,85,78,100,83.35
VER,Silverstone,96.25,64,100,82.11
LEC,Monza,90,70.2,100,82.09
PIA,Hungary,91.67,83.27,33.33,82.05
VER,Austria,100,65.5,75,81.98
VER,Hungary,83.75,76.2,100,81.98
VER,Brazil,73.33,84.35,100,80.96
NOR,Brazil,93.33,63.55,100,80.6
RUS,Melbourne,78.75,78,100,80.54
LEC,Jeddah,91.25,72.33,66.67,80.28
VER,Monaco,85,70.2,100,79.84
LEC,Austria,86.67,73.45,75,79.55
VER,Singapore,68.75,85.8,100,79.55
LEC,Suzuka,82.5,70.2,100,78.72
PIA,Silverstone,88.33,85.8,0,78.36
HAM,Silverstone,81.25,70.2,100,78.15
VER,Bahrain,90,66.35,75,77.86
LEC,Qatar,75,72.7,100,76.46
LEC,Bahrain,95,62,50,75.65
RUS,Monza,81.25,64,100,75.36
LEC,Singapore,86.25,57.8,100,74.82
ANT,Qatar,80,64,100,74.8
RUS,Jeddah,77.5,66.07,100,74.6
RUS,COTA,90,63.55,50,74.1
PIA,Suzuka,86.67,78,0,74.1
HAM,Barcelona,81.25,71.4,50,73.69
HAM,Spa,81.25,71.4,50,73.69
ANT,COTA,85,78,0,73.35
ANT,Montreal,85,78,0,73.35
PIA,Monza,85,78,0,73.35
RUS,Bahrain,83.75,67.9,50,73.24
HAM,COTA,80,71.4,50,73.13
RUS,Barcelona,76.25,74.1,50,72.66
RUS,Spa,76.25,74.1,50,72.66
PIA,Jeddah,76.67,59,100,71.05
LEC,Hungary,78.75,62.45,75,71.04
HAM,Montreal,75,71.4,50,70.88
PIA,Monaco,78.33,78,0,70.35
ALO,COTA,80,58.6,75,69.87
ALO,Montreal,80,58.6,75,69.87
NOR,Barcelona,86.25,57.65,50,69.76
NOR,Spa,86.25,57.65,50,69.76
RUS,Austria,66.67,71.45,75,69.65
BEA,Brazil,90,42.4,100,69.58
PIA,COTA,85,54.73,66.67,69.55
PIA,Montreal,85,54.73,66.67,69.55
PER,Bahrain,86.67,60.2,33.33,69.42
RUS,Montreal,78.75,63.55,50,69.04
RUS,Suzuka,66.25,64,100,68.61
SAI,Bahrain,81.25,60,50,68.56
HAM,Hungary,70,65.65,75,68.54
SAI,Jeddah,76.67,60.4,66.67,68.35
RUS,Qatar,87.5,64,0,68.18
NOR,Qatar,78.75,60.9,50,67.84
PIA,Barcelona,76.67,58.53,66.67,67.51
HAD,Monaco,70,57.8,100,67.51
PIA,Spa,76.67,58.53,66.67,67.51
RUS,Brazil,73.33,65,50,67.25
ANT,Singapore,85,64,0,67.05
LEC,Melbourne,81.25,45.4,100,66.99
HAM,Austria,76.67,65.95,25,66.68
HUL,Silverstone,45,78,100,65.35
NOR,Austria,71.67,56.2,75,65.04
RUS,Silverstone,87.5,34.6,100,64.94
HAM,Bahrain,67.5,64.4,50,64.36
ALO,Singapore,66.25,51.6,100,63.03
MSC,Austria,60,57.8,100,63.01
BOR,Hungary,60,57.8,100,63.01
MSC,Qatar,60,57.8,100,63.01
PIA,Austria,70,62.2,33.33,62.82
OCO,Monaco,65,51.6,100,62.47
SAI,Barcelona,68.75,53.25,75,62.4
SAI,Spa,68.75,53.25,75,62.4
PIA,Singapore,68.33,70.2,0,62.34
ALO,Brazil,70,46,100,62.2
HAD,Suzuka,70,45.4,100,61.93
STR,Melbourne,56.67,57.8,100,61.51
HAM,Monaco,72.5,64,0,61.42
ALB,Melbourne,50,64,100,61.3
HAD,Barcelona,60,51.6,100,60.22
ALO,Hungary,72.5,44.65,75,60.22
HAD,Spa,60,51.6,100,60.22
ANT,Jeddah,75,57.8,0,59.76
HAM,Monza,75,57.8,0,59.76
ANT,Suzuka,75,57.8,0,59.76
BOR,Monza,65,45.4,100,59.68
SAI,Singapore,73.75,34.6,100,58.76
ALB,Monza,56.67,51.6,100,58.72
SAI,Hungary,70,48.6,50,58.37
SAI,Austria,86.67,36.95,25,58.13
PER,Brazil,77.5,50.6,0,57.64
PER,Barcelona,60,67.67,0,57.45
PER,Spa,60,67.67,0,57.45
RIC,COTA,67.5,37.7,100,57.34
RIC,Montreal,67.5,37.7,100,57.34
ALO,Jeddah,71.25,41,66.67,57.18
HAM,Singapore,81.25,45.4,0,56.99
RUS,Hungary,55,65.2,25,56.59
HAM,Qatar,61.25,52.5,50,56.19
SAI,Montreal,57.5,50.25,75,55.99
SAI,Brazil,68.33,43.7,50,55.42
LEC,Brazil,81.67,35.8,25,55.36
ALO,Bahrain,62.5,43.6,75,55.24
LAW,Hungary,55,45.4,100,55.18
HAM,Suzuka,70,51.6,0,54.72
BEA,Singapore,60,39.2,100,54.64
GAS,Silverstone,41.25,57.8,100,54.57
SAI,Qatar,66.25,43.5,50,54.39
ALO,Qatar,66.25,43.1,50,54.21
SAI,COTA,51.67,50.25,75,53.36
LEC,Barcelona,62.5,43.75,50,52.81
LEC,Spa,62.5,43.75,50,52.81
BEA,Silverstone,65,30,100,52.75
HAD,Singapore,65,30,100,52.75
LAW,Brazil,60,45.4,50,52.43
GAS,Brazil,53.33,46.3,75,52.34
RUS,Monaco,63.75,30,100,52.19
PER,Austria,71.67,44.2,0,52.14
PIA,Bahrain,58.33,49.47,33.33,51.84
ANT,Bahrain,85,30,0,51.75
HAM,Brazil,60,43.7,50,51.66
LEC,Montreal,52.5,51.05,50,51.6
ALB,Silverstone,46.25,45.4,100,51.24
LEC,COTA,51.67,51.05,50,51.22
PIA,Brazil,70,43.47,0,51.06
SAI,Monaco,78.75,34.6,0,51.01
ALO,Suzuka,60,30,100,50.5
GAS,Barcelona,65,35.8,50,50.36
GAS,Spa,65,35.8,50,50.36
BEA,Suzuka,55,34.6,100,50.32
NOR,Bahrain,58.75,41.45,50,50.09
HAD,Brazil,65,45.4,0,49.68
ALB,Monaco,48.75,39.2,100,49.58
NOR,Montreal,70,34.2,25,49.39
PER,Hungary,45,64.53,0,49.29
ANT,Monza,70,39.2,0,49.14
HUL,Melbourne,35,51.6,100,48.97
SAI,Monza,77.5,30,0,48.38
OCO,Montreal,46.25,44.25,75,48.22
STR,Silverstone,32.5,51.6,100,47.84
NOR,Jeddah,53.75,44.6,33.33,47.59
TSU,Melbourne,56.25,27,100,47.46
HAM,Melbourne,70,34.6,0,47.07
OCO,Austria,56.67,36.65,50,46.99
ALB,Montreal,65,22.65,75,46.94
PIA,Melbourne,65,39.2,0,46.89
NOR,COTA,63.33,34.2,25,46.39
ALO,Austria,51.67,39.8,50,46.16
OCO,Qatar,38.75,41,100,45.89
GAS,Austria,51.67,27.8,100,45.76
ALB,Suzuka,40,39.2,100,45.64
OCO,COTA,40,44.25,75,45.41
LAW,Monaco,55,45.4,0,45.18
HAM,Jeddah,50,50.07,0,45.03
HAD,Hungary,70,30,0,45
OCO,Jeddah,43.75,41.4,66.67,44.98
HUL,Barcelona,40,37.33,100,44.8
OCO,Barcelona,46.25,36.65,75,44.8
HUL,Spa,40,37.33,100,44.8
OCO,Spa,46.25,36.65,75,44.8
STR,Hungary,56.25,37.7,25,44.78
BEA,Monza,50,27,100,44.65
MAG,Bahrain,38.33,38.33,100,44.5
HUL,Austria,57.5,33.33,33.33,44.21
SAI,Silverstone,71.25,27,0,44.21
LEC,Silverstone,76.25,21,0,43.76
HAD,COTA,60,15,100,43.75
HAD,Montreal,60,15,100,43.75
BOT,Qatar,45,30,100,43.75
ALO,Silverstone,57.5,39.2,0,43.52
GAS,Melbourne,43.75,30,100,43.19
BOT,Montreal,36.67,36.73,100,43.03
ANT,Melbourne,25,70.2,0,42.84
SAI,Suzuka,73.75,21,0,42.64
BOT,Bahrain,43.33,36.4,66.67,42.55
BOT,COTA,35,36.73,100,42.28
OCO,Brazil,40,48.2,25,42.19
HUL,Montreal,40,31.13,100,42.01
MSC,Barcelona,50,21,100,41.95
MSC,Spa,50,21,100,41.95
ALO,Barcelona,46.25,39.25,33.33,41.81
ALO,Spa,46.25,39.25,33.33,41.81
ALB,COTA,53.33,22.65,75,41.69
HAD,Jeddah,35,34.6,100,41.32
MAG,Jeddah,43.33,36.9,50,41.1
HAD,Bahrain,45,24,100,41.05
COL,COTA,45,24,100,41.05
COL,Montreal,45,24,100,41.05
MAG,Qatar,45,45.4,0,40.68
HUL,Brazil,52.5,23.07,66.67,40.67
ZHO,Jeddah,40,27,100,40.15
BOT,Hungary,58.33,15,66.67,39.67
LAW,Qatar,26.67,39.2,100,39.64
RIC,Austria,37.5,39.2,50,39.52
SAI,Melbourne,78.75,9,0,39.49
TSU,Bahrain,42.5,33.9,50,39.38
MSC,COTA,80,6,0,38.7
MSC,Montreal,80,6,0,38.7
ANT,Silverstone,70,15,0,38.25
OCO,Bahrain,38.75,29.5,75,38.21
MAG,COTA,60,17,33.33,37.98
ANT,Barcelona,75,9,0,37.8
HAD,Qatar,75,9,0,37.8
ANT,Spa,75,9,0,37.8
GAS,Qatar,56.25,16.5,50,37.74
BEA,Jeddah,37.5,24,100,37.67
GAS,Jeddah,46.25,29.2,33.33,37.29
OCO,Melbourne,36.25,24,100,37.11
MAG,Austria,41.67,33.27,33.33,37.05
HAD,Monza,25,34.6,100,36.82
BOR,Qatar,35,24,100,36.55
ALB,Austria,36.67,21.75,100,36.29
ALB,Bahrain,32.5,25.9,100,36.28
BOT,Barcelona,46.67,26.27,33.33,36.15
BOT,Spa,46.67,26.27,33.33,36.15
GAS,Suzuka,33.75,24,100,35.99
STR,Barcelona,40,32.27,33.33,35.85
STR,Spa,40,32.27,33.33,35.85
ANT,Hungary,45,34.6,0,35.82
RIC,Hungary,48.33,23,33.33,35.43
HUL,COTA,25,31.13,100,35.26
VET,Barcelona,25,30,100,34.75
VET,Spa,25,30,100,34.75
STR,Brazil,41.67,29.9,25,34.71
ALO,Melbourne,65,12,0,34.65
TSU,Singapore,50,27,0,34.65
GAS,Bahrain,40,25.7,50,34.56
HUL,Hungary,38.33,23,66.67,34.27
MSC,Bahrain,45,30,0,33.75
STR,Austria,36.67,27.05,50,33.67
ZHO,Barcelona,36.67,23.07,66.67,33.55
ZHO,Spa,36.67,23.07,66.67,33.55
TSU,Suzuka,47.5,27,0,33.52
MAG,Montreal,50,17,33.33,33.48
HAD,Silverstone,40,12,100,33.4
STR,Montreal,33.75,34.35,25,33.14
ALB,Qatar,32.5,28.5,50,32.45
BOR,Barcelona,45,27,0,32.4
LAW,Jeddah,45,27,0,32.4
BOR,Spa,45,27,0,32.4
DOO,Bahrain,50,21,0,31.95
STR,Bahrain,32.5,32.85,25,31.91
LAW,Barcelona,40,30,0,31.5
VET,Brazil,40,30,0,31.5
LAW,Spa,40,30,0,31.5
RIC,Bahrain,25,22.5,100,31.38
TSU,Jeddah,48.33,14,33.33,31.38
COL,Singapore,32.5,15,100,31.38
ZHO,Hungary,46.67,15,33.33,31.08
OCO,Hungary,35,17.3,75,31.04
RIC,Barcelona,35,22.5,50,30.88
RIC,Spa,35,22.5,50,30.88
STR,COTA,28.33,34.35,25,30.71
MSC,Hungary,25,21,100,30.7
BOR,Monaco,25,21,100,30.7
ALO,Monaco,61.25,6,0,30.26
GAS,Monza,30,15,100,30.25
TSU,Monaco,55,12,0,30.15
VET,Hungary,10,34.6,100,30.07
PER,Qatar,63.33,3,0,29.85
HUL,Suzuka,28.33,15,100,29.5
TSU,Monza,41.25,24,0,29.36
ALB,Brazil,38.33,15.75,50,29.34
TSU,COTA,40,19.5,25,29.28
HUL,Jeddah,26.25,24,66.67,29.28
BEA,COTA,35,30,0,29.25
BEA,Montreal,35,30,0,29.25
RIC,Qatar,25,39.2,0,28.89
BOT,Austria,28.33,21,66.67,28.87
STR,Jeddah,50,14,0,28.8
STR,Monaco,23.75,18,100,28.79
ALO,Monza,57.5,6,0,28.57
BOT,Brazil,15,26.07,100,28.48
ZHO,Bahrain,28.33,26.53,33.33,28.02
SAR,Brazil,10,30,100,28
ALB,Jeddah,32.5,22.07,33.33,27.89
TSU,Barcelona,27.5,22.9,50,27.68
TSU,Spa,27.5,22.9,50,27.68
HUL,Singapore,58.33,3,0,27.6
TSU,Montreal,36.25,19.5,25,27.59
COL,Hungary,30,9,100,27.55
MAG,Brazil,52.5,7.5,0,27
TSU,Qatar,33.75,24.8,0,26.35
ALB,Hungary,21.25,20.25,75,26.18
LAW,Singapore,40,18,0,26.1
GAS,COTA,20,26.3,50,25.84
GAS,Montreal,20,26.3,50,25.84
LAW,Suzuka,45,12,0,25.65
OCO,Silverstone,32.5,24,0,25.42
ZHO,COTA,30,26.13,0,25.26
TSU,Hungary,31.25,18.8,25,25.02
TSU,Brazil,15,28.7,50,24.66
ALB,Singapore,33.75,21,0,24.64
SAR,Jeddah,17.5,15,100,24.62
HUL,Bahrain,42.5,12,0,24.52
TSU,Silverstone,36.25,18,0,24.41
DOO,Jeddah,20,12,100,24.4
PER,Montreal,30,23.8,0,24.21
BOT,Jeddah,40,13.5,0,24.08
RIC,Jeddah,40,12,0,23.4
PER,COTA,27.5,23.8,0,23.09
MSC,Brazil,5,24,100,23.05
COL,Monaco,5,24,100,23.05
DEV,Barcelona,30,21,0,22.95
DOO,Melbourne,45,6,0,22.95
DEV,Spa,30,21,0,22.95
COL,Qatar,7.5,21,100,22.83
TSU,Austria,30,14.25,25,22.41
HUL,Monza,46.67,3,0,22.35
OCO,Suzuka,40,9,0,22.05
HUL,Monaco,33.33,15,0,21.75
STR,Qatar,18.75,18,50,21.54
ZHO,Montreal,21.67,26.13,0,21.51
STR,Singapore,23.75,24,0,21.49
MAG,Barcelona,36.67,11,0,21.45
MAG,Spa,36.67,11,0,21.45
VET,COTA,20,27,0,21.15
BEA,Monaco,20,27,0,21.15
VET,Montreal,20,27,0,21.15
OCO,Monza,28.75,18,0,21.04
BOR,Bahrain,15,9,100,20.8
STR,Monza,15,9,100,20.8
BOR,COTA,25,21,0,20.7
BOR,Montreal,25,21,0,20.7
LAW,Monza,25,21,0,20.7
BEA,Qatar,40,6,0,20.7
BOR,Melbourne,30,15,0,20.25
GAS,Monaco,41.25,3,0,19.91
SAR,COTA,40,3,0,19.35
BEA,Hungary,40,3,0,19.35
HAD,Melbourne,40,3,0,19.35
LAT,Barcelona,5,15,100,19
LAT,Spa,5,15,100,19
ALB,Barcelona,21.25,9.75,50,18.95
ALB,Spa,21.25,9.75,50,18.95
BEA,Barcelona,30,12,0,18.9
BEA,Spa,30,12,0,18.9
MAG,Hungary,26.67,15,0,18.75
OCO,Singapore,32.5,9,0,18.68
COL,Brazil,15,15,50,18.5
RIC,Brazil,27.5,13.5,0,18.45
ZHO,Qatar,20,21,0,18.45
LAT,Brazil,25,15,0,18
GAS,Singapore,33.75,6,0,17.89
BEA,Bahrain,5,34.6,0,17.82
DEV,Austria,5,12,100,17.65
BOR,Singapore,5,12,100,17.65
ANT,Monaco,30,9,0,17.55
GAS,Hungary,22.5,9.75,25,17.01
ZHO,Austria,10,20,33.33,16.83
HUL,Qatar,33.33,3,0,16.35
LAW,Bahrain,20,15,0,15.75
SAR,Bahrain,20,15,0,15.75
LAW,Melbourne,15,18,0,14.85
VET,Austria,20,12,0,14.4
VET,Qatar,20,12,0,14.4
ZHO,Brazil,12.5,19,0,14.18
DEV,Jeddah,10,21,0,13.95
LAW,Silverstone,25,6,0,13.95
SAR,Hungary,20,10.5,0,13.73
COL,Monza,17.5,12,0,13.28
BOR,Silverstone,20,9,0,13.05
COL,Barcelona,10,18,0,12.6
SAR,Montreal,25,3,0,12.6
COL,Spa,10,18,0,12.6
DOO,Suzuka,10,18,0,12.6
DEV,Bahrain,5,21,0,11.7
BOR,Suzuka,20,6,0,11.7
SAR,Austria,10,15,0,11.25
LAT,COTA,10,15,0,11.25
LAT,Montreal,10,15,0,11.25
DEV,Montreal,15,9,0,10.8
LAT,Bahrain,5,15,0,9
LAT,Jeddah,10,9,0,8.55
STR,Suzuka,15,3,0,8.1
LAW,COTA,10,6,0,7.2
LAW,Montreal,10,6,0,7.2
LAT,Hungary,5,9,0,6.3
BOR,Jeddah,5,9,0,6.3
LAT,Austria,5,6,0,4.95
LAT,Qatar,5,6,0,4.95
SAR,Barcelona,5,3,0,3.6
COL,Silverstone,5,3,0,3.6
SAR,Spa,5,3,0,3.6
MSC,Jeddah,35,,0,
